English sense,ZWN Written form,Function,Zulu RG VP,Inherent polarity
divisible,ahlulekayo,divisible_1_A,UseV hlulek_V,Pos
doleful,lusizi,doleful_1_A,CopAP (PositA lusizi_R),Pos
domestic,sekhaya,domestic_1_A,CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN khaya_5_6_N)))),Pos
dominated,lawulwayo,dominated_1_A,UseV lawulw_V,Pos
domineering,phathayo,domineering_1_A,UseV phath_V,Pos
double,phindiwe,double_1_A,UseVStative phindiw_V,Pos
downright,phandle,downright_1_A,CopLocative (LocAdvLoc (LocNAdv phandle_LocN)),Pos
dragging,nyanzela,dragging_1_A,UseV nyanzel_V,Pos
dramatic,omdlalo,dramatic_1_A,CopNPAssoc (DetCN (DetNum NumSg) (UseN dlalo_3_4_N)),Pos
drawn out,lulekile,drawn_out_1_A,UseVStative lulek_V,Pos
dreamy,dangele,dreamy_1_A,UseVStative dangal_V,Pos
driving,qhubayo,driving_1_A,UseV qhub_V,Pos
droll,hlekisayo,droll_1_A,UseV hlekis_V,Pos
ductile,thambile,ductile_1_A,UseVStative thamb_V,Pos
due,kweletwayo,due_1_A,UseV kweletw_V,Pos
durable,omelele,durable_1_A,UseVStative melel_V,Pos
dynamic,namandla,dynamic_1_A,CopNPAssoc (DetCN (DetNum NumPl) (UseN ndla_6_N)),Pos
eager,zimisele,eager_1_A,UseVStative misel_V,Pos
earned,zuziwe,earned_1_A,UseVStative zuziw_V,Pos
easy,pholileyo,easy_1_A,UseVStative phol_V,Pos
easy,thambileyo,easy_2_A,UseVStative thamb_V,Pos
